review_id,customer_id,employee_id,restaurant_id,rating
R1,C70,E44,,3
R2,C17,E17,,1
R3,C138,,R86,3
R4,C105,E48,,4
R5,C106,,R189,2
R6,C4,,R96,1
R7,C46,E17,,2
R8,C18,E48,,2
R9,C141,,R7,4
R10,C4,,R89,1
R11,C178,,R124,5
R12,C54,,R136,2
R13,C2,,R91,5
R14,C80,E18,,5
R15,C58,,R164,3
R16,C14,,R43,5
R17,C11,E40,,3
R18,C34,E21,,2
R19,C8,E22,,5
R20,C5,,R142,1
R21,C37,E35,,1
R22,C184,E12,,5
R23,C67,,R127,3
R24,C95,E8,,2
R25,C13,,R190,4
R26,C84,,R89,5
R27,C98,,R144,1
R28,C38,,R98,5
R29,C162,,R57,4
R30,C29,,R66,5
R31,C89,,R160,5
R32,C70,E6,,5
R33,C43,,R74,2
R34,C153,,R199,1
R35,C149,,R143,2
R36,C153,,R168,4
R37,C78,E23,,2
R38,C170,,R68,3
R39,C18,E41,,2
R40,C194,,R169,3
R41,C29,E29,,4
R42,C66,E36,,4
R43,C168,,R188,3
R44,C77,,R188,1
R45,C100,,R56,4
R46,C6,E5,,4
R47,C134,E43,,4
R48,C17,E20,,5
R49,C94,,R153,2
R50,C85,,R29,5
R51,C35,,R164,2
R52,C7,E48,,5
R53,C51,,R138,1
R54,C19,,R138,1
R55,C136,,R40,1
R56,C141,,R174,4
R57,C196,E23,,2
R58,C18,E41,,2
R59,C56,,R125,3
R60,C42,E23,,3
R61,C86,,R158,5
R62,C117,E32,,1
R63,C19,,R121,3
R64,C69,E14,,5
R65,C190,,R160,4
R66,C9,E12,,2
R67,C12,,R194,5
R68,C4,,R32,2
R69,C130,E38,,1
R70,C135,,R18,1
R71,C50,E13,,4
R72,C195,E19,,1
R73,C90,E4,,2
R74,C30,E31,,5
R75,C175,E7,,5
R76,C125,E46,,3
R77,C119,,R144,3
R78,C13,E33,,5
R79,C161,,R69,2
R80,C49,,R113,4
R81,C155,E31,,4
R82,C108,E17,,3
R83,C103,E11,,3
R84,C91,E9,,2
R85,C164,,R112,5
R86,C137,E1,,5
R87,C170,,R185,4
R88,C170,E16,,2
R89,C170,E36,,2
R90,C104,E12,,1
R91,C197,,R116,5
R92,C44,E43,,4
R93,C84,,R27,2
R94,C57,E43,,3
R95,C170,E22,,1
R96,C167,,R178,2
R97,C95,E38,,3
R98,C28,E32,,4
R99,C68,E19,,4
R100,C163,E22,,2
R101,C199,E22,,3
R102,C140,E18,,2
R103,C96,E49,,1
R104,C175,E7,,4
R105,C40,,R187,4
R106,C132,E17,,4
R107,C1,E12,,3
R108,C18,,R23,4
R109,C138,,R123,2
R110,C95,,R1,4
R111,C74,,R37,1
R112,C74,E4,,3
R113,C86,,R179,3
R114,C111,,R4,5
R115,C32,E43,,4
R116,C50,,R20,2
R117,C126,,R105,2
R118,C103,E11,,1
R119,C128,E30,,3
R120,C12,,R125,3
R121,C77,E18,,3
R122,C102,E40,,4
R123,C41,,R171,2
R124,C41,E31,,2
R125,C71,E5,,2
R126,C166,E42,,3
R127,C19,E49,,2
R128,C82,E9,,5
R129,C9,,R152,3
R130,C156,E29,,2
R131,C63,E36,,3
R132,C139,E1,,2
R133,C198,,R90,1
R134,C186,E32,,4
R135,C139,,R52,4
R136,C187,E46,,4
R137,C126,E14,,1
R138,C67,,R119,4
R139,C71,E18,,1
R140,C155,,R65,4
R141,C16,E3,,4
R142,C81,E3,,4
R143,C143,,R158,5
R144,C198,E8,,1
R145,C170,,R45,4
R146,C187,,R87,2
R147,C125,,R160,2
R148,C12,,R134,4
R149,C169,,R163,5
R150,C137,E31,,2
R151,C135,E26,,1
R152,C28,E34,,2
R153,C161,E23,,3
R154,C175,E5,,2
R155,C145,,R52,2
R156,C169,E5,,4
R157,C103,E29,,3
R158,C138,E5,,5
R159,C62,E48,,5
R160,C26,,R57,4
R161,C9,E7,,3
R162,C179,,R10,5
R163,C12,E27,,5
R164,C86,,R181,3
R165,C182,,R133,2
R166,C133,E7,,3
R167,C81,,R40,2
R168,C114,E6,,4
R169,C163,E16,,1
R170,C7,,R68,1
R171,C68,E23,,2
R172,C30,,R67,5
R173,C53,E22,,4
R174,C95,E22,,2
R175,C195,E26,,1
R176,C178,,R121,1
R177,C33,E36,,5
R178,C69,,R87,4
R179,C114,E45,,4
R180,C4,,R127,1
R181,C161,,R125,2
R182,C18,E15,,2
R183,C156,,R143,3
R184,C60,,R112,4
R185,C177,,R34,4
R186,C24,E6,,1
R187,C112,,R41,3
R188,C81,E33,,1
R189,C75,E46,,5
R190,C49,,R54,3
R191,C22,,R109,4
R192,C58,E50,,5
R193,C54,,R22,5
R194,C95,E16,,2
R195,C181,,R18,1
R196,C21,E2,,1
R197,C159,E48,,4
R198,C72,E23,,3
R199,C49,E21,,2
R200,C189,E19,,2
R201,C77,,R115,3
R202,C91,E43,,5
R203,C101,E34,,2
R204,C19,E28,,5
R205,C95,,R120,3
R206,C93,E14,,2
R207,C14,E38,,2
R208,C193,,R12,1
R209,C69,,R66,5
R210,C126,E27,,2
R211,C154,,R168,5
R212,C11,,R39,1
R213,C186,,R198,3
R214,C192,E17,,4
R215,C198,E3,,2
R216,C107,,R136,5
R217,C93,,R99,3
R218,C192,E18,,2
R219,C55,,R33,5
R220,C200,,R23,5
R221,C74,,R108,1
R222,C61,,R148,5
R223,C68,E40,,2
R224,C153,E30,,1
R225,C24,E23,,3
R226,C86,E20,,5
R227,C47,E40,,1
R228,C62,E40,,4
R229,C36,E48,,2
R230,C129,E3,,2
R231,C151,,R126,5
R232,C42,E15,,4
R233,C155,,R153,3
R234,C187,,R127,1
R235,C105,,R168,4
R236,C190,E48,,1
R237,C110,,R7,4
R238,C200,,R13,3
R239,C18,E19,,5
R240,C64,,R48,2
R241,C176,E41,,4
R242,C21,E43,,3
R243,C104,,R174,1
R244,C193,,R190,5
R245,C185,E46,,4
R246,C99,E25,,3
R247,C113,,R177,2
R248,C122,E4,,5
R249,C5,,R40,3
R250,C27,,R102,3
R251,C109,E16,,5
R252,C122,E41,,5
R253,C28,E36,,3
R254,C126,,R7,3
R255,C76,,R48,3
R256,C168,E43,,5
R257,C191,,R52,5
R258,C163,E50,,3
R259,C181,E49,,4
R260,C51,,R144,5
R261,C170,E44,,1
R262,C28,,R34,1
R263,C63,E30,,5
R264,C133,E4,,1
R265,C149,,R173,3
R266,C131,,R193,5
R267,C85,E10,,3
R268,C78,E45,,3
R269,C101,E50,,1
R270,C8,,R126,4
R271,C27,E10,,2
R272,C117,E34,,1
R273,C172,E26,,2
R274,C1,,R146,5
R275,C38,E1,,1
R276,C135,E10,,3
R277,C126,E44,,1
R278,C106,E29,,1
R279,C34,E23,,3
R280,C80,,R187,3
R281,C157,,R179,2
R282,C30,,R22,1
R283,C181,,R167,4
R284,C191,,R147,2
R285,C14,,R189,2
R286,C32,E36,,5
R287,C24,E48,,3
R288,C23,E20,,5
R289,C110,E8,,3
R290,C154,,R77,3
R291,C157,,R1,5
R292,C16,E28,,4
R293,C170,E4,,5
R294,C76,E45,,4
R295,C164,E36,,4
R296,C96,E13,,1
R297,C179,E2,,2
R298,C91,,R131,5
R299,C129,E8,,2
R300,C50,E38,,4
